NAME,SCHOOL_TASK__C,SIGNED__C,SIGNED_TIME__C,WHOID__C,WHO_TYPE__C
CA-0000000083,a05j0000002vCoJAAU,FALSE,,a03j00000032go1AAA,Student__c
CA-0000000084,a05j0000002vCuLAAU,FALSE,,a03j00000032go1AAA,Student__c
CA-0000000085,a05j0000002vCwUAAU,FALSE,,a03j00000032go1AAA,Student__c
CA-0000000086,a05j0000002w0vkAAA,FALSE,,a03j00000032go1AAA,Student__c
CA-0000000087,a05j0000002w0vzAAA,FALSE,,a03j00000032go1AAA,Student__c
CA-0000000088,a05j0000002w0w4AAA,FALSE,,a03j00000032go1AAA,Student__c
CA-0000000089,a05j0000002v5sCAAQ,FALSE,,a03j00000032gnzAAA,Student__c
CA-0000000090,a05j0000002vCoJAAU,FALSE,,a03j00000032gnzAAA,Student__c
CA-0000000091,a05j0000002vCuLAAU,FALSE,,a03j00000032gnzAAA,Student__c
CA-0000000092,a05j0000002vCwUAAU,FALSE,,a03j00000032gnzAAA,Student__c
CA-0000000093,a05j0000002w0vkAAA,FALSE,,a03j00000032gnzAAA,Student__c
CA-0000000094,a05j0000002w0vzAAA,FALSE,,a03j00000032gnzAAA,Student__c
CA-0000000095,a05j0000002w0w4AAA,FALSE,,a03j00000032gnzAAA,Student__c
CA-0000000096,a05j0000002v5sCAAQ,FALSE,,a03j00000032gnuAAA,Student__c
CA-0000000097,a05j0000002vCoJAAU,FALSE,,a03j00000032gnuAAA,Student__c
CA-0000000098,a05j0000002vCuLAAU,FALSE,,a03j00000032gnuAAA,Student__c
CA-0000000099,a05j0000002vCwUAAU,FALSE,,a03j00000032gnuAAA,Student__c
CA-0000000100,a05j0000002w0vkAAA,FALSE,,a03j00000032gnuAAA,Student__c
CA-0000000101,a05j0000002w0vzAAA,FALSE,,a03j00000032gnuAAA,Student__c
CA-0000000102,a05j0000002w0w4AAA,FALSE,,a03j00000032gnuAAA,Student__c
CA-0000000103,a05j0000002v5sCAAQ,FALSE,,a03j00000032goBAAQ,Student__c
CA-0000000104,a05j0000002vCoJAAU,FALSE,,a03j00000032goBAAQ,Student__c
CA-0000000105,a05j0000002vCuLAAU,FALSE,,a03j00000032goBAAQ,Student__c
CA-0000000106,a05j0000002vCwUAAU,FALSE,,a03j00000032goBAAQ,Student__c
CA-0000000107,a05j0000002w0vkAAA,FALSE,,a03j00000032goBAAQ,Student__c
CA-0000000108,a05j0000002w0vzAAA,FALSE,,a03j00000032goBAAQ,Student__c
CA-0000000109,a05j0000002w0w4AAA,FALSE,,a03j00000032goBAAQ,Student__c
CA-0000000110,a05j0000002v5sCAAQ,FALSE,,a03j00000032goDAAQ,Student__c
CA-0000000111,a05j0000002vCoJAAU,FALSE,,a03j00000032goDAAQ,Student__c
CA-0000000112,a05j0000002vCuLAAU,FALSE,,a03j00000032goDAAQ,Student__c
CA-0000000113,a05j0000002vCwUAAU,FALSE,,a03j00000032goDAAQ,Student__c
CA-0000000114,a05j0000002w0vkAAA,FALSE,,a03j00000032goDAAQ,Student__c
CA-0000000115,a05j0000002w0vzAAA,FALSE,,a03j00000032goDAAQ,Student__c
CA-0000000116,a05j0000002w0w4AAA,FALSE,,a03j00000032goDAAQ,Student__c
CA-0000000117,a05j0000002v5sCAAQ,FALSE,,a03j00000032go5AAA,Student__c
CA-0000000118,a05j0000002vCoJAAU,FALSE,,a03j00000032go5AAA,Student__c
CA-0000000119,a05j0000002vCuLAAU,FALSE,,a03j00000032go5AAA,Student__c
CA-0000000120,a05j0000002vCwUAAU,FALSE,,a03j00000032go5AAA,Student__c
CA-0000000121,a05j0000002w0vkAAA,FALSE,,a03j00000032go5AAA,Student__c
CA-0000000122,a05j0000002w0vzAAA,FALSE,,a03j00000032go5AAA,Student__c
CA-0000000123,a05j0000002w0w4AAA,FALSE,,a03j00000032go5AAA,Student__c
CA-0000000124,a05j0000002v5sCAAQ,FALSE,,a03j00000032go6AAA,Student__c
CA-0000000125,a05j0000002vCoJAAU,FALSE,,a03j00000032go6AAA,Student__c
CA-0000000126,a05j0000002vCuLAAU,FALSE,,a03j00000032go6AAA,Student__c
CA-0000000127,a05j0000002vCwUAAU,FALSE,,a03j00000032go6AAA,Student__c
CA-0000000128,a05j0000002w0vkAAA,FALSE,,a03j00000032go6AAA,Student__c
CA-0000000129,a05j0000002w0vzAAA,FALSE,,a03j00000032go6AAA,Student__c
CA-0000000130,a05j0000002w0w4AAA,FALSE,,a03j00000032go6AAA,Student__c
CA-0000000131,a05j0000002v5sCAAQ,FALSE,,a03j00000032gnyAAA,Student__c
CA-0000000132,a05j0000002vCoJAAU,FALSE,,a03j00000032gnyAAA,Student__c
CA-0000000133,a05j0000002vCuLAAU,FALSE,,a03j00000032gnyAAA,Student__c
CA-0000000134,a05j0000002vCwUAAU,FALSE,,a03j00000032gnyAAA,Student__c
CA-0000000135,a05j0000002w0vkAAA,FALSE,,a03j00000032gnyAAA,Student__c
CA-0000000136,a05j0000002w0vzAAA,FALSE,,a03j00000032gnyAAA,Student__c
CA-0000000137,a05j0000002w0w4AAA,FALSE,,a03j00000032gnyAAA,Student__c
CA-0000000138,a05j0000002v5sCAAQ,FALSE,,a03j00000032gnxAAA,Student__c
CA-0000000139,a05j0000002vCoJAAU,FALSE,,a03j00000032gnxAAA,Student__c
CA-0000000140,a05j0000002vCuLAAU,FALSE,,a03j00000032gnxAAA,Student__c
CA-0000000141,a05j0000002vCwUAAU,FALSE,,a03j00000032gnxAAA,Student__c
CA-0000000142,a05j0000002w0vkAAA,FALSE,,a03j00000032gnxAAA,Student__c
CA-0000000143,a05j0000002w0vzAAA,FALSE,,a03j00000032gnxAAA,Student__c
CA-0000000144,a05j0000002w0w4AAA,FALSE,,a03j00000032gnxAAA,Student__c
CA-0000000145,a05j0000002v5sCAAQ,FALSE,,a03j00000032go9AAA,Student__c
CA-0000000146,a05j0000002vCoJAAU,FALSE,,a03j00000032go9AAA,Student__c
CA-0000000147,a05j0000002vCuLAAU,FALSE,,a03j00000032go9AAA,Student__c
CA-0000000148,a05j0000002vCwUAAU,FALSE,,a03j00000032go9AAA,Student__c
CA-0000000149,a05j0000002w0vkAAA,FALSE,,a03j00000032go9AAA,Student__c
CA-0000000150,a05j0000002w0vzAAA,FALSE,,a03j00000032go9AAA,Student__c
CA-0000000151,a05j0000002w0w4AAA,FALSE,,a03j00000032go9AAA,Student__c
CA-0000000152,a05j0000002v5sCAAQ,FALSE,,a03j00000032go7AAA,Student__c
CA-0000000153,a05j0000002vCoJAAU,FALSE,,a03j00000032go7AAA,Student__c
CA-0000000154,a05j0000002vCuLAAU,FALSE,,a03j00000032go7AAA,Student__c
CA-0000000155,a05j0000002vCwUAAU,FALSE,,a03j00000032go7AAA,Student__c
CA-0000000156,a05j0000002w0vkAAA,FALSE,,a03j00000032go7AAA,Student__c
CA-0000000157,a05j0000002w0vzAAA,FALSE,,a03j00000032go7AAA,Student__c
CA-0000000158,a05j0000002w0w4AAA,FALSE,,a03j00000032go7AAA,Student__c
CA-0000000159,a05j0000002v5sCAAQ,FALSE,,a03j00000032gnwAAA,Student__c
CA-0000000160,a05j0000002vCoJAAU,FALSE,,a03j00000032gnwAAA,Student__c
CA-0000000161,a05j0000002vCuLAAU,FALSE,,a03j00000032gnwAAA,Student__c
CA-0000000162,a05j0000002vCwUAAU,FALSE,,a03j00000032gnwAAA,Student__c
CA-0000000163,a05j0000002w0vkAAA,FALSE,,a03j00000032gnwAAA,Student__c
CA-0000000164,a05j0000002w0vzAAA,FALSE,,a03j00000032gnwAAA,Student__c
CA-0000000165,a05j0000002w0w4AAA,FALSE,,a03j00000032gnwAAA,Student__c
CA-0000000166,a05j0000002v5sCAAQ,FALSE,,a03j00000032go2AAA,Student__c
CA-0000000167,a05j0000002vCoJAAU,FALSE,,a03j00000032go2AAA,Student__c
CA-0000000168,a05j0000002vCuLAAU,FALSE,,a03j00000032go2AAA,Student__c
CA-0000000169,a05j0000002vCwUAAU,FALSE,,a03j00000032go2AAA,Student__c
CA-0000000170,a05j0000002w0vkAAA,FALSE,,a03j00000032go2AAA,Student__c
CA-0000000171,a05j0000002w0vzAAA,FALSE,,a03j00000032go2AAA,Student__c
CA-0000000172,a05j0000002w0w4AAA,FALSE,,a03j00000032go2AAA,Student__c
CA-0000000173,a05j0000002v5sCAAQ,FALSE,,a03j00000032goCAAQ,Student__c
CA-0000000174,a05j0000002vCoJAAU,FALSE,,a03j00000032goCAAQ,Student__c
CA-0000000175,a05j0000002vCuLAAU,FALSE,,a03j00000032goCAAQ,Student__c
CA-0000000176,a05j0000002vCwUAAU,FALSE,,a03j00000032goCAAQ,Student__c
CA-0000000177,a05j0000002w0vkAAA,FALSE,,a03j00000032goCAAQ,Student__c
CA-0000000178,a05j0000002w0vzAAA,FALSE,,a03j00000032goCAAQ,Student__c
CA-0000000179,a05j0000002w0w4AAA,FALSE,,a03j00000032goCAAQ,Student__c
CA-0000000180,a05j0000002v5sCAAQ,FALSE,,a03j00000032gnvAAA,Student__c
CA-0000000181,a05j0000002vCoJAAU,FALSE,,a03j00000032gnvAAA,Student__c
CA-0000000182,a05j0000002vCuLAAU,FALSE,,a03j00000032gnvAAA,Student__c
CA-0000000183,a05j0000002vCwUAAU,FALSE,,a03j00000032gnvAAA,Student__c
CA-0000000184,a05j0000002w0vkAAA,FALSE,,a03j00000032gnvAAA,Student__c
CA-0000000185,a05j0000002w0vzAAA,FALSE,,a03j00000032gnvAAA,Student__c
CA-0000000186,a05j0000002w0w4AAA,FALSE,,a03j00000032gnvAAA,Student__c
